Sitio,CWM_habitat,CWM_dieta,CWM_sustrato,CWM_masa,,Sitio,CWM_habitat,CWM_dieta,CWM_sustrato,CWM_masa
Historico,0.015009381,0.009146341,0.014634146,26.85756098,,Historico,0.019641182,0.00933689,0.012804878,7.315495427
Historico,0.022514071,0.00304878,0.004878049,37.0302439,,NoQuemado,0.078865579,0.034090909,0.051515152,9.51969697
Historico,0.045028143,0.024390244,0.009756098,91.7897561,,Quemado,0.079807692,0.038020833,0.058333333,5.909083333
Historico,0.016885553,0.00304878,0.014634146,0.195121951,,,,,,
Historico,0.030018762,0.006097561,0.029268293,0.165365854,,,,,,
Historico,0.015009381,0.00304878,0.009756098,0.086341463,,,,,,
Historico,0.009380863,0.006097561,0.009756098,8.934146341,,,,,,
Historico,0.015009381,0.012195122,0.009756098,0.129268293,,,,,,
Historico,0.033771107,0.048780488,0.029268293,45.26682927,,,,,,
Historico,0.011257036,0.024390244,0.019512195,0.619512195,,,,,,
Historico,0.013133208,0.012195122,0.014634146,1.258292683,,,,,,
Historico,0.016885553,0.00304878,0.004878049,0.26097561,,,,,,
Historico,0.026266417,0.006097561,0.019512195,0.395121951,,,,,,
Historico,0.016885553,0.00304878,0.004878049,0.238780488,,,,,,
Historico,0.013133208,0.009146341,0.014634146,1,,,,,,
Historico,0.011257036,0.009146341,0.009756098,0.585365854,,,,,,
Historico,0.015009381,0.009146341,0.009756098,0.497560976,,,,,,
Historico,0.015009381,0.009146341,0.009756098,1.486585366,,,,,,
Historico,0.026266417,0.006097561,0.009756098,0.536585366,,,,,,
Historico,0.022514071,0.00304878,0.009756098,0.141463415,,,,,,
Historico,0.018761726,0.006097561,0.009756098,0.819512195,,,,,,
Historico,0.011257036,0.00304878,0.009756098,0.15097561,,,,,,
Historico,0.011257036,0.006097561,0.009756098,0.258536585,,,,,,
Historico,0.015009381,0.00304878,0.014634146,0.224390244,,,,,,
Historico,0.022514071,0.006097561,0.004878049,0.264634146,,,,,,
Historico,0.011257036,0.006097561,0.004878049,0.704878049,,,,,,
Historico,0.045028143,0.012195122,0.019512195,1.775609756,,,,,,
Historico,0.020637899,0.006097561,0.009756098,1.712195122,,,,,,
Historico,0.030018762,0.012195122,0.029268293,3.829268293,,,,,,
Historico,0.015009381,0.00304878,0.014634146,0.192682927,,,,,,
Historico,0.015009381,0.006097561,0.014634146,0.275609756,,,,,,
Historico,0.022514071,0.018292683,0.009756098,6.412682927,,,,,,
NoQuemado,0.027972028,0.017045455,0.027272727,50.05272727,,,,,,
NoQuemado,0.227272727,0.085227273,0.090909091,2.713636364,,,,,,
NoQuemado,0.055944056,0.034090909,0.036363636,1.854545455,,,,,,
NoQuemado,0.024475524,0.005681818,0.009090909,0.5,,,,,,
NoQuemado,0.094405594,0.034090909,0.054545455,0.844090909,,,,,,
NoQuemado,0.020979021,0.005681818,0.009090909,0.544090909,,,,,,
NoQuemado,0.13986014,0.056818182,0.136363636,17.84090909,,,,,,
NoQuemado,0.094405594,0.051136364,0.081818182,8.543181818,,,,,,
NoQuemado,0.024475524,0.017045455,0.018181818,2.784090909,,,,,,
Quemado,0.015384615,0.033333333,0.026666667,0.846666667,,,,,,
Quemado,0.056410256,0.008333333,0.013333333,0.6,,,,,,
Quemado,0.1,0.0375,0.04,1.194,,,,,,
Quemado,0.143589744,0.0875,0.093333333,4.76,,,,,,
Quemado,0.025641026,0.008333333,0.013333333,1.12,,,,,,
Quemado,0.015384615,0.008333333,0.013333333,0.353333333,,,,,,
Quemado,0.266666667,0.108333333,0.26,34.01666667,,,,,,
Quemado,0.015384615,0.0125,0.006666667,4.382,,,,,,
