sitio	estacion	ambiente	agebad	amabra	rupmag	spimag	chlluc	colmel	patpic	cycguj	elapar	furruf	geoaeq	ictcay	lepang	mimsat	molbon	myimac	myimon	pacpol	phastr	pitsul	poldum	poomel	rossoc	sicfla	siclut	spocae	synspi	troaed	turruf	viroli	zenaur	zoncap
2	inv	bosque	1	0	0	0	0	2	2	1	0	6	1	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	5	3	0	2	5
2	oto	bosque	1	0	1	0	0	3	2	0	0	2	0	0	2	5	0	0	0	0	0	3	0	0	1	0	0	0	0	3	4	0	1	0
2	pri	bosque	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	1	6
2	ver	bosque	1	0	0	0	0	3	0	0	1	6	0	0	4	0	0	0	0	1	1	6	0	0	0	0	0	0	0	1	1	0	8	2
3	inv	arbustal	1	0	0	0	0	1	0	0	0	6	0	0	1	0	3	0	0	0	1	2	0	0	3	0	0	0	2	6	3	0	2	6
3	oto	arbustal	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	1	3	0	0	3	0	0	0	0	3	6	0	1	1
3	pri	arbustal	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	4	3
3	ver	arbustal	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	5	4
4	inv	arbustal	8	0	0	10	0	0	0	0	0	1	2	2	1	0	1	0	14	0	2	1	0	2	0	0	0	0	1	3	1	0	4	6
4	oto	arbustal	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	4	3	0	0	1
4	pri	arbustal	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	2	0	0	0	0	4	0	0	4	1	0	1	4
4	ver	arbustal	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	3	2	2	0	0	0	4
5	inv	bosque	0	0	0	0	0	3	2	3	0	4	1	2	1	0	1	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	2	3
5	oto	bosque	37	0	2	0	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	2	0	0	3
5	pri	bosque	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	1	4
5	ver	bosque	10	0	2	0	0	2	0	2	2	0	0	0	0	0	0	1	0	3	0	5	0	0	0	0	0	0	1	1	2	2	1	5
6	inv	bosque	0	0	5	0	0	1	2	1	0	4	0	0	1	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	3	0	4	6
