"","Sitio","Orden","Familia","Especie","Abundancia","plast_habitat","plast_sust","plast_diet","masa","Diet-Inv","Diet-Vend","Diet-Vect","Diet-Vfish","Diet-Scav","Diet-Fruit","Diet-Seed","Diet-PlantO","Diet-5Cat","ForStrat-ground","ForStrat-understory","ForStrat-midhigh","ForStrat-canopy","ForStrat-aerial","Nocturnal","BodyMass-Value","BodyMass-Source","BodyMass-SpecLevel","BodyMass-Comment","Record-Comment","Abun_relativa","CWM_habitat","CWM_dieta","CWM_sustrato","CWM_suma","CWM_masa"
"1","Historico","Accipitriformes","Accipitridae","Buteo jamaicensis",1,0.615384615384615,0.6,0.375,1101.16,1,6,3,NA,NA,NA,NA,NA,"VertFishScav",NA,NA,33,33,33,0,1101.16,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00914634146341464,0.0146341463414634,0.0387898686679174,26.8575609756098
"2","Historico","Accipitriformes","Cathartidae","Cathartes aura",1,0.923076923076923,0.2,0.125,1518.24,NA,NA,NA,NA,1,NA,NA,NA,"VertFishScav",1,NA,NA,NA,NA,0,1518.24,"Dunning08",1,NA,NA,0.024390243902439,0.0225140712945591,0.00304878048780488,0.00487804878048781,0.0304409005628518,37.030243902439
"3","Historico","Accipitriformes","Cathartidae","Coragyps atratus",2,0.923076923076923,0.2,0.5,1881.69,NA,1,1,1,7,NA,NA,NA,"VertFishScav",1,NA,NA,NA,NA,0,1881.69,"Dunning08",1,NA,NA,0.0487804878048781,0.0450281425891182,0.024390243902439,0.00975609756097561,0.0791744840525328,91.789756097561
"4","Historico","Apodiformes","Trochilidae","Eugenes fulgens",1,0.692307692307692,0.6,0.125,8,1,NA,NA,NA,NA,NA,NA,NA,"FruiNect",NA,6,3,NA,1,0,8,"Dunning08",1,NA,NA,0.024390243902439,0.0168855534709193,0.00304878048780488,0.0146341463414634,0.0345684803001876,0.195121951219512
"5","Historico","Apodiformes","Trochilidae","Hylocharis leucotis",2,0.615384615384615,0.6,0.125,3.39,1,NA,NA,NA,NA,NA,NA,NA,"FruiNect",NA,5,4,NA,1,0,3.39,"Dunning08",1,NA,NA,0.0487804878048781,0.0300187617260788,0.00609756097560976,0.0292682926829268,0.0653846153846154,0.165365853658537
"6","Historico","Apodiformes","Trochilidae","Selasphorus platycercus",1,0.615384615384615,0.4,0.125,3.54,1,NA,NA,NA,NA,NA,NA,NA,"FruiNect",NA,8,2,NA,NA,0,3.54,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00304878048780488,0.00975609756097561,0.0278142589118199,0.0863414634146342
"7","Historico","Columbiformes","Columbidae","Patagioenas fasciata",1,0.384615384615385,0.4,0.25,366.3,NA,NA,NA,NA,NA,NA,7,3,"PlantSeed",NA,5,5,NA,NA,0,366.3,"Dunning08",1,NA,NA,0.024390243902439,0.00938086303939963,0.00609756097560976,0.00975609756097561,0.025234521575985,8.93414634146342
"8","Historico","Passeriformes","Aegithalidae","Psaltriparus minimus",1,0.615384615384615,0.4,0.5,5.3,7,NA,NA,NA,NA,1,1,1,"Invertebrate",NA,5,5,NA,NA,0,5.3,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.0121951219512195,0.00975609756097561,0.0369606003752345,0.129268292682927
"9","Historico","Passeriformes","Corvidae","Corvus corax",2,0.692307692307692,0.6,1,927.97,1,2,1,1,2,1,1,1,"VertFishScav",8,NA,1,NA,1,0,927.97,"Dunning08",1,NA,NA,0.0487804878048781,0.0337711069418386,0.0487804878048781,0.0292682926829268,0.111819887429644,45.2668292682927
"10","Historico","Passeriformes","Fringillidae","Spinus pinus",2,0.230769230769231,0.4,0.5,12.7,1,NA,NA,NA,NA,1,7,1,"PlantSeed",5,NA,5,NA,NA,0,12.7,"Dunning08",1,NA,NA,0.0487804878048781,0.0112570356472796,0.024390243902439,0.0195121951219512,0.0551594746716698,0.619512195121951
"11","Historico","Passeriformes","Laniidae","Lanius ludovicianus",1,0.538461538461538,0.6,0.5,51.59,7,1,1,NA,1,NA,NA,NA,"Invertebrate",8,1,1,NA,NA,0,51.59,"Dunning08",1,NA,NA,0.024390243902439,0.0131332082551595,0.0121951219512195,0.0146341463414634,0.0399624765478424,1.25829268292683
"12","Historico","Passeriformes","Parulidae","Basileuterus belli",1,0.692307692307692,0.2,0.125,10.7,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,1,NA,NA,NA,0,10.7,"Dunning08",1,NA,NA,0.024390243902439,0.0168855534709193,0.00304878048780488,0.00487804878048781,0.024812382739212,0.260975609756098
"13","Historico","Passeriformes","Parulidae","Cardellina rubra",2,0.538461538461538,0.4,0.125,8.1,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,7,3,NA,NA,0,8.1,"Dunning08",1,NA,NA,0.0487804878048781,0.0262664165103189,0.00609756097560976,0.0195121951219512,0.0518761726078799,0.395121951219512
